metric,value,N,statistic,p_value,effect_size,effect_size_type,note
RQ1_Mean_Semantic_Similarity,0.7435,50,,,,,"SD=0.0884 | Mo ta (median=0.7500), khong phai kiem dinh gia thuyet"
RQ1_Wilcoxon_signedrank_vs_0.85,0.7435,50,36,1,-1.2049,Cohen's d (Large),H0: median similarity < 0.85 | H1 (proposal Sec4): >= 0.85 | Ket luan: KHONG reject H0 (chua dat nguong) 
RQ2_Syntax_Validity_Rate,1,50,,,,,"50/50 output hop le cu phap | Mo ta, khong phai kiem dinh gia thuyet"
RQ2_Binomial_exact_test_vs_0.7,1,50,,1.80E-08,1.1593,Cohen's h (Large),"H0: rate < 0.7 | H1 (proposal Sec4): >= 0.7 | Ket luan: REJECT H0 (dat nguong) | LUU Y: 100% hop le -> zero variance, p-value mang tinh hinh thuc "
