id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,S. B. Nettur; S. Karpurapu; U. Nettur; L. S. Gajja,2025,IEEE Access,String_A,Include,"IC-L, IC-Y, IC-T, IC-P, IC-I, IC-E",Include,"Read full-text, confirmed all inclusion criteria are met"
2,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,P. L. Fonseca; B. Lima; J. P. Faria,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),String_B,Include,"IC-L, IC-Y, IC-T, IC-P, IC-I, IC-E",Include,"Read full-text, confirmed all inclusion criteria are met"
3,Automated Testing of the GUI of a Real-Life Engineering Software using Large Language Models,T. Rosenbach; D. Heidrich; A. Weinert,2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",String_B,Include,"IC-L, IC-Y, IC-T, IC-P, IC-I, IC-E",Include,"Read full-text, confirmed all inclusion criteria are met"
4,Automated Software Test Case Generation Using Directional Partially Weighted Ensemble Large Language Models With Retrieval-Augmented Generation (RAG),W. Sisomboon; J. Kaewyotha; W. Songpan,2026,IEEE Access,String_B,Include,"IC-L, IC-Y, IC-T, IC-P, IC-I, IC-E",Include,"Read full-text, confirmed all inclusion criteria are met"
5,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,J. Jagielski; C. Rojas; M. Abel,2025,2025 2nd International Generative AI and Computational Language Modelling Conference (GACLM),String_B,Include,"IC-L, IC-Y, IC-T, IC-P, IC-I, IC-E",Include,"Read full-text, confirmed all inclusion criteria are met"
6,Automatic Test Case Generation Mechanism With Natural Language-Based Korean Requirement Specifications,W. Jang; R. Young Chul Kim,2025,IEEE Access,String_B,Include,"IC-L, IC-Y, IC-T, IC-P, IC-I, IC-E",Include,"Read full-text, confirmed all inclusion criteria are met"
7,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,S. Karpurapu; S. Myneni; U. Nettur; L. S. Gajja; D. Burke; T. Stiehm; J. Payne,2024,IEEE Access,String_C,Include,"IC-L, IC-Y, IC-T, IC-P, IC-I, IC-E",Include,"Read full-text, confirmed all inclusion criteria are met"
8,Acceptance Test Generation with Large Language Models: An Industrial Case Study,M. Ferreira; L. Viegas; J. P. Faria; B. Lima,2025,2025 IEEE/ACM International Conference on Automation of Software Test (AST),String_C,Include,"IC-L, IC-Y, IC-T, IC-P, IC-I, IC-E",Include,"Read full-text, confirmed all inclusion criteria are met"
